State,iqiyi,baofeng,3Dbobo,chengzi
APP启动时间(首次)(S),2.41,4.72,3.7,4.33
分屏场景加载时间(首次)(S),4.03,3.6,4.09,
视频起播等待时间(3D电影)(S),1.11,,2.71,3.5
视频退出加载时间(3D电影)(S),0.03,0.33,0.17,0.05
